id,name,permits_dogs_citation,permits_dogs
1:CS,Caledonian Sleeper,,
1:QC,Network Rail Wessex Zone,Cannot find,UNKNOWN
1:LD,Lumo,,
1:GR,London North Eastern Railway,,
1:XC,CrossCountry,,
1:TP,TransPennine Express,,
1:SR,ScotRail,Per <https://www.scotrail.co.uk/plan-your-journey/stations-and-facilities/luggage-and-pets> you can bring up to two dogs (but they can't travel on rail replacement busses),TRUE
1:VT,Avanti West Coast,,
2:OP570,SPT Subway,,
2:OP571,Hebridean MiniBus Service,,
2:OP572,Lochs Motor Transport,,
2:OP618,Shuttle Buses,,
2:OP615,Stuart's Coaches,,
2:OP616,McNairn's Coaches,,
2:OP617,JMB Travel,,
2:OP610,McColls Travel,,
2:OP578,South Harris Coaches,,
2:OP611,Colchri Coaches,,
2:OP216,Arriva North East,,
2:OP579,D A Travel,,
2:OP612,McGill's Bus Service,"Per <https://www.mcgillsbuses.co.uk/help> Small animals are carried on local services only, at the discretion of the driver. ",TRUE
2:OP10363,Galson Motors,,
2:OP217,Peter Hogg of Jedburgh,,
2:OP14844,Cairn Valley Community Transport,,
2:OP573,Murdo MacIver,,
2:OP574,Hebridean Transport,,
2:OP212,Borders Buses,,
2:OP575,Bus Na Comhairle,,
2:OP576,Peter MacLennan,,
2:OP8515,Scoraig Ferry,,
2:OP581,Western Ferries,,
2:OP8516,Tranport for Tongue,,
2:OP583,Grenitote Travel,,
2:OP629,Community Transport Glasgow,,
2:OP625,Whitelaw Coaches,,
2:OP626,Wilson's of Rhu,,
2:OP627,Millport Motors,,
2:OP13861,Park's of Hamilton,,
2:OP588,George Rapson Travel,,
2:OP589,D & E Coaches,,
2:OP622,Avondale Coaches,,
2:OP623,ARG Travel,,
2:OP10594,Glenfarg Community Transport Group,,
2:OP584,First Greater Glasgow,,
2:OP222,Telford's Coaches,,
2:OP585,Western Isles Cruises,,
2:OP223,Travelsure,,
2:OP586,Highland Council,,
2:OP587,Shiel Buses,,
2:OP620,Canavan Travel,,
2:OP6733,Short's Travel,,
2:OP15075,Todd's Travel,,
2:OP8747,Eastern Scottish,,
2:OP550,Stagecoach East Scotland,,
2:OP556,Prentice Westwood,,
2:OP6207,Lochcarron Garage,,
2:OP10066,K and K Transport,,
2:OP2245,Borders Buses,,
2:OP552,Bay Travel,,
2:OP4423,Hobson Travel,,
2:OP3335,Andrew's,,
2:OP6205,Lochaber Action on Disability,,
2:OP8978,Climate Action Strathaven,,
2:OP561,Caledonian MacBrayne,,
2:OP7492,Highland Ferries,,
2:OP607,Elizabeth Yule Transport,,
2:OP608,Sweeneys Garage,,
2:OP604,Orkney Ferries,,
2:OP605,Dochertys Midland Coaches,,
2:OP606,Burnbrae Garage,,
2:OP13201,Stirling Council,,
2:OP600,Lothian Community Transport,,
2:OP568,Pentland Ferries,,
2:OP601,Moray Council,,
2:OP602,Isle of Hoy Development Trust,,
2:OP965,Ember,,
2:OP1024,Orkney Travel,,
2:OP1783,Andersons of Langholm,,
2:OP564,Megabus,,
2:OP565,Northlink Ferries,,
2:OP9538,MacLeod's Coaches,,
2:OP2905,HcL,,
2:OP537,Stagecoach West Scotland,,
2:OP538,DGC Buses,,
2:OP654,SD Travel,,
2:OP536,Scottish Borders Council,,
2:OP8055,Hunter Cabs & Mini Buses,,
2:OP9540,Dunnett's Transport,,
2:OP650,BK Marine,,
2:OP530,Islay Coaches,,
2:OP651,Hunters Executive Coaches,,
2:OP3433,J & D S Halcrow,,
2:OP5051,FlixBus,,
2:OP5050,National Express,,
2:OP12739,Premier Coaches,,
2:OP548,Prentice Coaches,,
2:OP3666,Wilma Ann Nicolson,,
2:OP545,Scottish Citylink,"Per <://www.citylink.co.uk/conditions-of-carriage/>. Animals, other than trained assistance dogs and guide dogs in training, will not normally be carried on the Company’s services. The exception will be made for small animals which are fully contained within a transport-approved pet carrier, (eg IATA approved).",FALSE
2:OP265,Houston's Minicoaches,,
2:OP540,W Brownrigg,,
2:OP541,McCall's Coaches,,
2:OP3665,AK Transport,,
2:OP592,Westerbus,,
2:OP593,D M K Motors,,
2:OP594,The Durness Bus,,
2:OP590,MacDonald's Coaches,,
2:OP10825,WM Travel,,
2:OP516,Deveron Coaches,,
2:OP638,J A & G D Nicolson,,
2:OP4623,PVT Transfer,,
2:OP511,First Aberdeen,,
2:OP599,Edinburgh Trams,,
2:OP632,North Area Transport Association,,
2:OP512,Stagecoach Bluebird,,
2:OP634,South Ayrshire Community Transport,,
2:OP635,Wilsons Buses,,
2:OP991,Watermill Coaches,,
2:OP596,Lothian Buses,,
2:OP4225,Jonathan Boyd,,
2:OP597,Lothian Country Buses,,
2:OP630,United Coaches,,
2:OP6800,WMV Motor Hirer,,
2:OP4622,Kevin's Coaches,,
2:OP598,East Coast Buses,,
2:OP526,Argyll & Bute Council Ferries,,
2:OP648,R Robertson & Son,,
2:OP528,West Coast Motors,,
2:OP649,Shetland Ferries,,
2:OP529,Garelochhead Minibuses & Coaches,,
2:OP523,Smith & Sons,,
2:OP644,Martins Car Hire,,
2:OP11189,J R Services,,
2:OP524,Xplore Dundee,,
2:OP645,Johnson Transport,,
2:OP11188,Aberdeenshire Council,,
2:OP525,Moffat & Williamson,,
2:OP646,R G Jamieson & Son,,
2:OP8781,Midland Bluebird,,
2:OP640,Wastbus,,
2:OP520,Travel Wisharts,,
2:OP521,J P Minibus,,